Rd,Pick,School,Pos,B/T,Class,TeamId,TeamNm,FirstNm,LastNm,FullNm,BonusType,BonusAmount,Year
17,522,Sacramento State (CA),P,R/R,4YR SR,112.0,Chicago Cubs, Tanner,Dalton, Tanner Dalton,SlottedBonus,125000.0,2019
18,552,Lander University (SC),P,R/R,4YR SR,112.0,Chicago Cubs, Alex,Moore, Alex Moore,SlottedBonus,125000.0,2019
19,582,Duke (NC),P,R/L,4YR JR,112.0,Chicago Cubs, Adam,Laskey, Adam Laskey,SlottedBonus,125000.0,2019
20,612,West Virginia (WV),OF,L/L,4YR SR,112.0,Chicago Cubs, Darius,Hill, Darius Hill,SlottedBonus,125000.0,2019
21,642,Florida (FL),OF,R/R,4YR SR,112.0,Chicago Cubs, Nelson,Maldonado, Nelson Maldonado,SlottedBonus,125000.0,2019
22,672,Florence-Darlington Tech (SC),P,L/R,JC J1,112.0,Chicago Cubs, Elian,Almanzar, Elian Almanzar,SlottedBonus,125000.0,2019
23,702,Westwood HS (AZ),OF,R/R,HS SR,112.0,Chicago Cubs, Manny,Collier, Manny Collier,SlottedBonus,125000.0,2019
24,732,Clemson (SC),3B,L/R,4YR 5S,112.0,Chicago Cubs, Grayson,Byrd, Grayson Byrd,SlottedBonus,125000.0,2019
25,762,University of Illinois (IL),OF,R/R,4YR 5S,112.0,Chicago Cubs, Zac,Taylor, Zac Taylor,SlottedBonus,125000.0,2019
26,792,South Carolina (SC),IF,R/R,4YR SR,112.0,Chicago Cubs, Jacob,Olson, Jacob Olson,SlottedBonus,125000.0,2019
27,822,McNeese State (LA),P,R/R,4YR SR,112.0,Chicago Cubs, Cayne,Ueckert, Cayne Ueckert,SlottedBonus,125000.0,2019
28,852,Lipscomb University (TN),P,R/R,4YR SR,112.0,Chicago Cubs, Chris,Kachmar, Chris Kachmar,SlottedBonus,125000.0,2019
29,882,East Carolina (NC),C,R/R,4YR SR,112.0,Chicago Cubs, Jake,Washer, Jake Washer,SlottedBonus,125000.0,2019
30,912,McNeese State (LA),P,R/L,4YR SR,112.0,Chicago Cubs, Bryan,King, Bryan King,SlottedBonus,125000.0,2019
1,3,California (CA),1B,R/R,4YR JR,145.0,Chicago White Sox, Andrew,Vaughn, Andrew Vaughn,SlottedBonus,7220000.0,2019
2,45,Cypress Ranch HS (TX),P,R/R,HS SR,145.0,Chicago White Sox, Matthew,Thompson, Matthew Thompson,SlottedBonus,1650000.0,2019
3,81,Redondo Union HS (CA),P,R/R,HS SR,145.0,Chicago White Sox, Andrew,Dalquist, Andrew Dalquist,SlottedBonus,755300.0,2019
4,110,Loyd Star HS (MS),CF,R/R,HS SR,145.0,Chicago White Sox, James,Beard, James Beard,SlottedBonus,527800.0,2019
5,140,Boston College (MA),P,L/L,4YR SR,145.0,Chicago White Sox, Dan,Metzdorf, Dan Metzdorf,SlottedBonus,394300.0,2019
6,170,Arizona (AZ),P,R/L,4YR SR,145.0,Chicago White Sox, Avery,Weems, Avery Weems,SlottedBonus,296400.0,2019
7,200,University of Texas - San Antonio (TX),P,R/R,4YR SR,145.0,Chicago White Sox, Karan,Patel, Karan Patel,SlottedBonus,231100.0,2019
8,230,West Virginia (WV),C,R/R,4YR SR,145.0,Chicago White Sox, Ivan,Gonzalez, Ivan Gonzalez,SlottedBonus,183700.0,2019
9,260,Campbell University (NC),P,R/R,4YR SR,145.0,Chicago White Sox, Tyson,Messer, Tyson Messer,SlottedBonus,158100.0,2019
10,290,Winthrop (SC),P,R/R,4YR SR,145.0,Chicago White Sox, Nate,Pawelczyk, Nate Pawelczyk,SlottedBonus,147400.0,2019
11,320,International Baseball Academy (PR),C,R/R,HS SR,145.0,Chicago White Sox, Victor,Torres, Victor Torres,SlottedBonus,125000.0,2019
12,350,Leadership Christian Academy (PR),CF,R/R,HS SR,145.0,Chicago White Sox, Misael,Gonzalez, Misael Gonzalez,SlottedBonus,125000.0,2019
13,380,Florida Southern College (FL),P,R/R,4YR JR,145.0,Chicago White Sox, Cooper,Bradford, Cooper Bradford,SlottedBonus,125000.0,2019
14,410,University of Arkansas - Little Rock (AR),P,R/R,4YR JR,145.0,Chicago White Sox, McKinley,Moore, McKinley Moore,SlottedBonus,125000.0,2019
15,440,Texas Tech (TX),P,R/R,4YR JR,145.0,Chicago White Sox, Caleb,Freeman, Caleb Freeman,SlottedBonus,125000.0,2019
16,470,Illiana Christian HS (IL),3B,R/R,HS SR,145.0,Chicago White Sox, DJ,Gladney, DJ Gladney,SlottedBonus,125000.0,2019
17,500,Georgetown (DC),P,R/R,4YR JR,145.0,Chicago White Sox, Jeremiah,Burke, Jeremiah Burke,SlottedBonus,125000.0,2019
18,530,University of Tampa (FL),P,L/L,4YR JR,145.0,Chicago White Sox, Sammy,Peralta, Sammy Peralta,SlottedBonus,125000.0,2019
19,560,Chipola College (FL),SS,R/R,JC J2,145.0,Chicago White Sox, Joshua,Rivera, Joshua Rivera,SlottedBonus,125000.0,2019
20,590,Virginia (VA),OF,R/R,4YR SR,145.0,Chicago White Sox, Cameron,Simmons, Cameron Simmons,SlottedBonus,125000.0,2019
21,620,Tulane (LA),P,R/R,4YR JR,145.0,Chicago White Sox, Chase,Solesky, Chase Solesky,SlottedBonus,125000.0,2019
22,650,Mustang HS (OK),CF,R/R,HS SR,145.0,Chicago White Sox, Logan,Glass, Logan Glass,SlottedBonus,125000.0,2019
23,680,Indiana (IN),P,R/R,4YR SR,145.0,Chicago White Sox, Pauly,Milto, Pauly Milto,SlottedBonus,125000.0,2019
24,710,Oregon (OR),C,L/R,4YR 5S,145.0,Chicago White Sox, Jakob,Goldfarb, Jakob Goldfarb,SlottedBonus,125000.0,2019
25,740,North Carolina (NC),P,R/R,4YR 5S,145.0,Chicago White Sox, Hansen,Butler, Hansen Butler,SlottedBonus,125000.0,2019
26,770,Hope International U (CA),P,R/R,4YR SR,145.0,Chicago White Sox, Justin,Friedman, Justin Friedman,SlottedBonus,125000.0,2019
27,800,Central Florida (FL),C,R/R,4YR 5S,145.0,Chicago White Sox, Tyler,Osik, Tyler Osik,SlottedBonus,125000.0,2019
28,830,Hillsboro HS (TX),CF,L/L,HS SR,145.0,Chicago White Sox, Caeden,Trenkle, Caeden Trenkle,SlottedBonus,125000.0,2019
29,860,Tulane (LA),P,R/R,4YR 5S,145.0,Chicago White Sox, Kaleb,Roper, Kaleb Roper,SlottedBonus,125000.0,2019
30,890,High Point University (NC),C,R/R,4YR 5S,145.0,Chicago White Sox, Daniel,Millwee, Daniel Millwee,SlottedBonus,125000.0,2019
1,7,TCU (TX),P,L/L,4YR JR,113.0,Cincinnati Reds, Nick,Lodolo, Nick Lodolo,SlottedBonus,5430000.0,2019
2,49,IMG Academy (FL),SS,R/R,HS SR,113.0,Cincinnati Reds, Rece,Hinds, Rece Hinds,SlottedBonus,1510000.0,2019
3,85,Providence School of Jacksonville (FL),2B,L/R,HS SR,113.0,Cincinnati Reds, Tyler,Callihan, Tyler Callihan,SlottedBonus,710700.0,2019
4,114,Chipola College (FL),2B,S/R,JC J2,113.0,Cincinnati Reds, Ivan,Johnson, Ivan Johnson,SlottedBonus,507400.0,2019
5,144,Rice (TX),P,L/L,4YR SR,113.0,Cincinnati Reds, Evan,Kravetz, Evan Kravetz,SlottedBonus,379000.0,2019
6,174,Alabama - Birmingham (AL),P,L/R,4YR SO,113.0,Cincinnati Reds, Graham,Ashcraft, Graham Ashcraft,SlottedBonus,286500.0,2019
7,204,UC Santa Barbara (CA),C,R/R,4YR JR,113.0,Cincinnati Reds, Eric,Yang, Eric Yang,SlottedBonus,224000.0,2019
8,234,Grand Canyon University (AZ),OF,R/R,4YR JR,113.0,Cincinnati Reds, Quin,Cotton, Quin Cotton,SlottedBonus,178600.0,2019
9,264,South Carolina (SC),CF,R/R,4YR SR,113.0,Cincinnati Reds, TJ,Hopkins, TJ Hopkins,SlottedBonus,156100.0,2019
10,294,Minnesota (MN),P,R/R,4YR SR,113.0,Cincinnati Reds, Jake,Stevenson, Jake Stevenson,SlottedBonus,146300.0,2019
11,324,Puerto Rico Baseball Academy (PR),RF,L/L,HS SR,113.0,Cincinnati Reds, Wendell,Marrero, Wendell Marrero,SlottedBonus,125000.0,2019
12,354,Puerto Rico Baseball Academy (PR),SS,R/R,HS SR,113.0,Cincinnati Reds, Yan,Contreras, Yan Contreras,SlottedBonus,125000.0,2019
13,384,South Carolina (SC),C,R/R,4YR JR,113.0,Cincinnati Reds, Luke,Berryhill, Luke Berryhill,SlottedBonus,125000.0,2019
14,414,Nova Southeastern University (FL),IF,S/R,4YR SR,113.0,Cincinnati Reds, Garrett,Wolforth, Garrett Wolforth,SlottedBonus,125000.0,2019
15,444,Indiana (IN),OF,L/R,4YR 5S,113.0,Cincinnati Reds, Matt,Lloyd, Matt Lloyd,SlottedBonus,125000.0,2019
16,474,North Carolina State (NC),P,R/R,4YR JR,113.0,Cincinnati Reds, Jason,Parker, Jason Parker,SlottedBonus,125000.0,2019
17,504,Vanderbilt (TN),P,R/R,4YR SR,113.0,Cincinnati Reds, Patrick,Raby, Patrick Raby,SlottedBonus,125000.0,2019
18,534,Oklahoma (OK),P,R/R,4YR JR,113.0,Cincinnati Reds, Jason,Ruffcorn, Jason Ruffcorn,SlottedBonus,125000.0,2019
19,564,Mercyhurst College (PA),P,R/R,4YR SR,113.0,Cincinnati Reds, Tyler,Garbee, Tyler Garbee,SlottedBonus,125000.0,2019
20,594,Cumberland County College (NJ),P,R/R,JC J2,113.0,Cincinnati Reds, Jose,Rodriguez, Jose Rodriguez,SlottedBonus,125000.0,2019
21,624,John A. Logan College (IL),OF,R/R,JC J2,113.0,Cincinnati Reds, Ashton,Creal, Ashton Creal,SlottedBonus,125000.0,2019
22,654,Texas Tech (TX),1B,R/R,4YR SR,113.0,Cincinnati Reds, Cameron,Warren, Cameron Warren,SlottedBonus,125000.0,2019
23,684,Southern Mississippi (MS),P,R/R,4YR SR,113.0,Cincinnati Reds, JC,Keys, JC Keys,SlottedBonus,125000.0,2019
24,714,University of Illinois (IL),P,L/R,4YR 5S,113.0,Cincinnati Reds, Quinten,Sefcik, Quinten Sefcik,SlottedBonus,125000.0,2019
25,744,Puerto Rico Baseball Academy (PR),C,R/R,HS SR,113.0,Cincinnati Reds, Yamil,Nieves, Yamil Nieves,SlottedBonus,125000.0,2019
26,774,Pepperdine University (CA),SS,R/R,4YR JR,113.0,Cincinnati Reds, Quincy,McAfee, Quincy McAfee,SlottedBonus,125000.0,2019
27,804,Boston College (MA),P,L/R,4YR JR,113.0,Cincinnati Reds, Matt,Gill, Matt Gill,SlottedBonus,125000.0,2019
28,834,Cumberland County College (NJ),P,R/R,JC J2,113.0,Cincinnati Reds, Michael,Miles, Michael Miles,SlottedBonus,125000.0,2019
29,864,South Miami HS (FL),3B,R/R,HS SR,113.0,Cincinnati Reds, Yassel,Pino, Yassel Pino,SlottedBonus,125000.0,2019
30,894,Sinclair SS (ON),C,R/R,HS SR,113.0,Cincinnati Reds, Ryan,Leitch, Ryan Leitch,SlottedBonus,125000.0,2019
1,24,Georgia Premier Academy (GA),P,R/R,HS SR,114.0,Cleveland Indians, Daniel,Espino, Daniel Espino,SlottedBonus,2830000.0,2019
2,63,McArthur HS (FL),SS,S/R,HS SR,114.0,Cleveland Indians, Yordys,Valdes, Yordys Valdes,SlottedBonus,1080000.0,2019
3,101,Rueben S. Ayala HS (CA),1B,L/L,HS SR,114.0,Cleveland Indians, Joe,Naranjo, Joe Naranjo,SlottedBonus,577000.0,2019
4,130,Calvary Christian HS (FL),SS,R/R,HS SR,114.0,Cleveland Indians, Christian,Cairo, Christian Cairo,SlottedBonus,434300.0,2019
5,160,Georgia State (GA),P,R/R,4YR JR,114.0,Cleveland Indians, Hunter,Gaddis, Hunter Gaddis,SlottedBonus,324100.0,2019
6,190,Junipero Serra HS (CA),SS,R/R,HS SR,114.0,Cleveland Indians, Jordan,Brown, Jordan Brown,SlottedBonus,251100.0,2019
7,220,Georgia Tech (GA),P,R/R,4YR JR,114.0,Cleveland Indians, Xzavion,Curry, Xzavion Curry,SlottedBonus,197300.0,2019
8,250,Kansas State (KS),CF,L/L,4YR JR,114.0,Cleveland Indians, Will,Brennan, Will Brennan,SlottedBonus,163900.0,2019
9,280,IMG Academy (FL),1B,R/R,HS SR,114.0,Cleveland Indians, Will,Bartlett, Will Bartlett,SlottedBonus,150300.0,2019
10,310,Franklin Pierce University (NH),P,R/R,4YR SR,114.0,Cleveland Indians, Zach,Hart, Zach Hart,SlottedBonus,142500.0,2019
11,340,Sam Houston State (TX),P,R/R,4YR JR,114.0,Cleveland Indians, Nick,Mikolajchak, Nick Mikolajchak,SlottedBonus,125000.0,2019
12,370,Miami Christian School (FL),P,R/R,HS SR,114.0,Cleveland Indians, Allan,Hernandez, Allan Hernandez,SlottedBonus,125000.0,2019
13,400,Point Loma Nazarene University (CA),OF,L/R,4YR JR,114.0,Cleveland Indians, Micah,Pries, Micah Pries,SlottedBonus,125000.0,2019
14,430,North Carolina (NC),SS,R/R,4YR JR,114.0,Cleveland Indians, Ike,Freeman, Ike Freeman,SlottedBonus,125000.0,2019
15,460,East Carolina (NC),P,R/R,4YR JR,114.0,Cleveland Indians, Trey,Benton, Trey Benton,SlottedBonus,125000.0,2019
16,490,Washington (WA),P,R/R,4YR JR,114.0,Cleveland Indians, Jordan,Jones, Jordan Jones,SlottedBonus,125000.0,2019
17,520,San Diego State (CA),CF,L/L,4YR JR,114.0,Cleveland Indians, Julian,Escobedo, Julian Escobedo,SlottedBonus,125000.0,2019
18,550,Nebraska (NE),P,R/R,4YR SR,114.0,Cleveland Indians, Matt,Waldron, Matt Waldron,SlottedBonus,125000.0,2019
19,580,James Madison University (VA),P,R/R,4YR JR,114.0,Cleveland Indians, Kevin,Kelly, Kevin Kelly,SlottedBonus,125000.0,2019
20,610,Virginia Tech (VA),P,R/R,4YR SR,114.0,Cleveland Indians, Nic,Enright, Nic Enright,SlottedBonus,125000.0,2019
21,640,Miami (FL),C,R/R,4YR JR,114.0,Cleveland Indians, Michael,Amditis, Michael Amditis,SlottedBonus,125000.0,2019
22,670,Gonzaga (WA),C,L/R,4YR SR,114.0,Cleveland Indians, Austin,Pinorini, Austin Pinorini,SlottedBonus,125000.0,2019
23,700,University of Arkansas - Little Rock (AR),P,L/L,4YR JR,114.0,Cleveland Indians, Chandler,Fidel, Chandler Fidel,SlottedBonus,125000.0,2019
24,730,New Mexico JC (NM),SS,R/R,JC J2,114.0,Cleveland Indians, Joab,Gonzalez, Joab Gonzalez,SlottedBonus,125000.0,2019
25,760,Penn State (PA),P,R/R,4YR SR,114.0,Cleveland Indians, Eric,Mock, Eric Mock,SlottedBonus,125000.0,2019
26,790,Ronald Reagan HS (TX),SS,R/R,HS SR,114.0,Cleveland Indians, Armani,Sanchez, Armani Sanchez,SlottedBonus,125000.0,2019
27,820,Leadership Christian Academy (PR),SS,S/R,HS SR,114.0,Cleveland Indians, Landy,Pena, Landy Pena,SlottedBonus,125000.0,2019
28,850,Rutgers (NJ),P,R/R,4YR SR,114.0,Cleveland Indians, Serafino,Brito, Serafino Brito,SlottedBonus,125000.0,2019
29,880,College of Charleston (SC),P,R/R,4YR SR,114.0,Cleveland Indians, Nate,Ocker, Nate Ocker,SlottedBonus,125000.0,2019
30,910,Parkview HS (GA),C,R/R,HS SR,114.0,Cleveland Indians, Jonathan,French, Jonathan French,SlottedBonus,125000.0,2019
1,23,UCLA (CA),1B,S/L,4YR JR,115.0,Colorado Rockies, Michael,Toglia, Michael Toglia,SlottedBonus,2930000.0,2019
2,62,Georgia (GA),3B,R/R,4YR JR,115.0,Colorado Rockies, Aaron,Schunk, Aaron Schunk,SlottedBonus,1100000.0,2019
CBB,77,Michigan (MI),P,R/R,4YR JR,115.0,Colorado Rockies, Karl,Kauffmann, Karl Kauffmann,SlottedBonus,805600.0,2019
3,100,Connecticut (CT),P,R/R,4YR JR,115.0,Colorado Rockies, Jacob,Wallace, Jacob Wallace,SlottedBonus,581600.0,2019
4,129,Shepherd University (WV),RF,R/R,4YR JR,115.0,Colorado Rockies, Brenton,Doyle, Brenton Doyle,SlottedBonus,438700.0,2019
5,159,Ole Miss (MS),P,R/R,4YR JR,115.0,Colorado Rockies, Will,Ethridge, Will Ethridge,SlottedBonus,327200.0,2019
6,189,St. John's (NY),P,R/R,4YR JR,115.0,Colorado Rockies, Gavin,Hollowell, Gavin Hollowell,SlottedBonus,253300.0,2019
7,219,California (CA),P,R/R,4YR JR,115.0,Colorado Rockies, Jared,Horn, Jared Horn,SlottedBonus,198500.0,2019
8,249,Arkansas (AR),P,R/R,4YR JR,115.0,Colorado Rockies, Jacob,Kostyshock, Jacob Kostyshock,SlottedBonus,164700.0,2019
9,279,Creighton (NE),2B,S/R,4YR JR,115.0,Colorado Rockies, Isaac,Collins, Isaac Collins,SlottedBonus,150500.0,2019
10,309,University of Illinois (IL),RF,L/L,4YR SR,115.0,Colorado Rockies, Jack,Yalowitz, Jack Yalowitz,SlottedBonus,142700.0,2019
11,339,Florida Atlantic (FL),P,R/R,4YR JR,115.0,Colorado Rockies, Mike,Ruff, Mike Ruff,SlottedBonus,125000.0,2019
12,369,University of California - Irvine (CA),SS,R/R,4YR JR,115.0,Colorado Rockies, Christian,Koss, Christian Koss,SlottedBonus,125000.0,2019
13,399,Cal State Fullerton (CA),C,R/R,4YR JR,115.0,Colorado Rockies, Daniel,Cope, Daniel Cope,SlottedBonus,125000.0,2019
14,429,Illinois State (IL),LF,R/R,4YR JR,115.0,Colorado Rockies, Joe,Aeilts, Joe Aeilts,SlottedBonus,125000.0,2019
15,459,Walters State CC (TN),P,R/R,JC J3,115.0,Colorado Rockies, Alex,Haynes, Alex Haynes,SlottedBonus,125000.0,2019
16,489,Mississippi State (MS),P,L/L,4YR SR,115.0,Colorado Rockies, Trysten,Barlow, Trysten Barlow,SlottedBonus,125000.0,2019
17,519,Long Beach State (CA),P,L/L,4YR JR,115.0,Colorado Rockies, Zak,Baayoun, Zak Baayoun,SlottedBonus,125000.0,2019
18,549,Oklahoma State (OK),CF,R/R,4YR JR,115.0,Colorado Rockies, Trevor,Boone, Trevor Boone,SlottedBonus,125000.0,2019
19,579,East Carolina (NC),SS,S/R,4YR SR,115.0,Colorado Rockies, Turner,Brown, Turner Brown,SlottedBonus,125000.0,2019
20,609,University of Tampa (FL),OF,R/R,4YR JR,115.0,Colorado Rockies, Yorvis,Torrealba, Yorvis Torrealba,SlottedBonus,125000.0,2019
21,639,Samford University (AL),P,R/R,4YR SR,115.0,Colorado Rockies, Stephen,Jones, Stephen Jones,SlottedBonus,125000.0,2019
22,669,San Jose State (CA),P,R/R,4YR SR,115.0,Colorado Rockies, Fineas,Del Bonta-Smith, Fineas Del Bonta-Smith,SlottedBonus,125000.0,2019
23,699,Flagler College (FL),P,R/R,4YR 5S,115.0,Colorado Rockies, Blair,Calvo, Blair Calvo,SlottedBonus,125000.0,2019
24,729,Central Florida (FL),P,R/R,4YR SR,115.0,Colorado Rockies, Jordan,Spicer, Jordan Spicer,SlottedBonus,125000.0,2019
25,759,Mississippi State (MS),P,R/R,4YR JR,115.0,Colorado Rockies, Keegan,James, Keegan James,SlottedBonus,125000.0,2019
26,789,Northern St U (SD),P,R/R,4YR 5S,115.0,Colorado Rockies, Luke,Chevalier, Luke Chevalier,SlottedBonus,125000.0,2019
27,819,Rollins College (FL),P,R/R,4YR SR,115.0,Colorado Rockies, Cameron,Enck, Cameron Enck,SlottedBonus,125000.0,2019
28,849,University of Tampa (FL),P,R/R,4YR SR,115.0,Colorado Rockies, Keven,Pimentel, Keven Pimentel,SlottedBonus,125000.0,2019
29,879,Oklahoma State (OK),C,L/R,4YR SR,115.0,Colorado Rockies, Colin,Simpson, Colin Simpson,SlottedBonus,125000.0,2019
1,5,Hagerty HS (FL),RF,L/L,HS SR,116.0,Detroit Tigers, Riley,Greene, Riley Greene,SlottedBonus,6180000.0,2019
2,47,Arizona (AZ),SS,R/R,4YR JR,116.0,Detroit Tigers, Nick,Quintana, Nick Quintana,SlottedBonus,1580000.0,2019
3,83,Tennessee (TN),3B,R/R,4YR JR,116.0,Detroit Tigers, Andre,Lipcius, Andre Lipcius,SlottedBonus,733100.0,2019
4,112,UCLA (CA),IF,R/R,4YR JR,116.0,Detroit Tigers, Ryan,Kreidler, Ryan Kreidler,SlottedBonus,517400.0,2019
5,142,East Carolina (NC),LF,L/R,4YR JR,116.0,Detroit Tigers, Bryant,Packard, Bryant Packard,SlottedBonus,386600.0,2019
6,172,Ole Miss (MS),C,R/R,4YR JR,116.0,Detroit Tigers, Cooper,Johnson, Cooper Johnson,SlottedBonus,291400.0,2019
7,202,LSU (LA),P,R/R,4YR JR,116.0,Detroit Tigers, Zack,Hess, Zack Hess,SlottedBonus,227700.0,2019
8,232,Arkansas (AR),IF,L/R,4YR JR,116.0,Detroit Tigers, Jack,Kenley, Jack Kenley,SlottedBonus,181200.0,2019
9,262,North Carolina (NC),P,R/R,4YR JR,116.0,Detroit Tigers, Austin,Bergner, Austin Bergner,SlottedBonus,157200.0,2019
10,292,Creighton (NE),1B,R/R,4YR JR,116.0,Detroit Tigers, Jake,Holton, Jake Holton,SlottedBonus,147000.0,2019
11,322,Texas Tech (TX),P,L/R,4YR JR,116.0,Detroit Tigers, John,McMillon, John McMillon,SlottedBonus,125000.0,2019
12,352,North Carolina Central University (NC),IF,R/R,4YR JR,116.0,Detroit Tigers, Corey,Joyce, Corey Joyce,SlottedBonus,125000.0,2019
13,382,Illinois State (IL),P,L/L,4YR JR,116.0,Detroit Tigers, Matt,Walker, Matt Walker,SlottedBonus,125000.0,2019
14,412,UC San Diego (CA),P,R/R,4YR JR,116.0,Detroit Tigers, Ted,Stuka, Ted Stuka,SlottedBonus,125000.0,2019
15,442,Ohio State (OH),P,R/L,4YR JR,116.0,Detroit Tigers, Andrew,Magno, Andrew Magno,SlottedBonus,125000.0,2019
16,472,Grand Canyon University (AZ),LF,L/L,4YR JR,116.0,Detroit Tigers, Kona,Quiggle, Kona Quiggle,SlottedBonus,125000.0,2019
17,502,Washington State (WA),P,L/L,4YR JR,116.0,Detroit Tigers, A.J.,Block, A.J. Block,SlottedBonus,125000.0,2019
18,532,New Mexico (NM),OF,R/R,4YR SR,116.0,Detroit Tigers, Jared,Mang, Jared Mang,SlottedBonus,125000.0,2019
19,562,Virginia Tech (VA),OF,L/R,4YR JR,116.0,Detroit Tigers, Kerry,Carpenter, Kerry Carpenter,SlottedBonus,125000.0,2019
20,592,Oklahoma State (OK),SS,R/R,4YR JR,116.0,Detroit Tigers, Andrew,Navigato, Andrew Navigato,SlottedBonus,125000.0,2019
21,622,Coastal Carolina (SC),SS,R/R,4YR JR,116.0,Detroit Tigers, Scott,McKeon, Scott McKeon,SlottedBonus,125000.0,2019
22,652,Ole Miss (MS),1B,L/L,4YR JR,116.0,Detroit Tigers, Cole,Zabowski, Cole Zabowski,SlottedBonus,125000.0,2019
23,682,Yale (CT),1B,R/R,4YR SR,116.0,Detroit Tigers, Griffin,Dey, Griffin Dey,SlottedBonus,125000.0,2019
24,712,North Carolina State (NC),P,R/R,4YR JR,116.0,Detroit Tigers, Michael,Bienlien, Michael Bienlien,SlottedBonus,125000.0,2019
25,742,Kennesaw State (GA),P,L/L,4YR JR,116.0,Detroit Tigers, Josh,Coburn, Josh Coburn,SlottedBonus,125000.0,2019
26,772,Siena College (NY),P,R/R,4YR JR,116.0,Detroit Tigers, Brendan,White, Brendan White,SlottedBonus,125000.0,2019
27,802,Colorado St U Pueblo (CO),P,R/R,4YR JR,116.0,Detroit Tigers, Beau,Brieske, Beau Brieske,SlottedBonus,125000.0,2019
28,832,Pittsburgh (PA),OF,L/L,4YR SR,116.0,Detroit Tigers, Connor,Perry, Connor Perry,SlottedBonus,125000.0,2019
29,862,Oklahoma City University (OK),OF,L/L,4YR 5S,116.0,Detroit Tigers, Elliott,Cary, Elliott Cary,SlottedBonus,125000.0,2019
30,892,Grayson County College (TX),C,R/R,JC J2,116.0,Detroit Tigers, Cordell,Dunn, Cordell Dunn,SlottedBonus,125000.0,2019
1,32,California (CA),C,R/R,4YR JR,117.0,Houston Astros, Korey,Lee, Korey Lee,SlottedBonus,2260000.0,2019
2,68,Ole Miss (MS),SS,R/R,4YR JR,117.0,Houston Astros, Grae,Kessinger, Grae Kessinger,SlottedBonus,953100.0,2019
3,106,Michigan (MI),OF,R/R,4YR JR,117.0,Houston Astros, Jordan,Brewer, Jordan Brewer,SlottedBonus,549000.0,2019
4,136,Pleasant Valley HS (CA),CF,L/L,HS SR,117.0,Houston Astros, Colin,Barber, Colin Barber,SlottedBonus,410100.0,2019
5,166,Wayne State (MI),P,R/R,4YR JR,117.0,Houston Astros, Hunter,Brown, Hunter Brown,SlottedBonus,306800.0,2019
6,196,Campbell University (NC),CF,R/L,4YR SR,117.0,Houston Astros, Matthew,Barefoot, Matthew Barefoot,SlottedBonus,239000.0,2019
7,226,Texas (TX),P,R/R,4YR JR,117.0,Houston Astros, Blair,Henley, Blair Henley,SlottedBonus,188900.0,2019
8,256,Miami Dade CC Kendall (FL),CF,R/R,JC J2,117.0,Houston Astros, Luis,Guerrero, Luis Guerrero,SlottedBonus,160300.0,2019
9,286,Oklahoma State (OK),P,R/R,4YR JR,117.0,Houston Astros, Peyton,Battenfield, Peyton Battenfield,SlottedBonus,148400.0,2019
10,316,USC (CA),C,R/R,4YR SR,117.0,Houston Astros, C.J.,Stubbs, C.J. Stubbs,SlottedBonus,142200.0,2019
11,346,Florida SouthWestern State College (FL),P,R/R,JC J2,117.0,Houston Astros, Ryan,Gusto, Ryan Gusto,SlottedBonus,125000.0,2019
12,376,Rice (TX),P,R/R,4YR JR,117.0,Houston Astros, Garrett,Gayle, Garrett Gayle,SlottedBonus,125000.0,2019
13,406,Glendale College (CA),P,R/R,JC J2,117.0,Houston Astros, Kevin,Holcomb, Kevin Holcomb,SlottedBonus,125000.0,2019
14,436,Pittsburgh (PA),P,R/R,4YR SR,117.0,Houston Astros, Derek,West, Derek West,SlottedBonus,125000.0,2019
15,466,Iowa (IA),P,L/R,4YR SR,117.0,Houston Astros, Cole,McDonald, Cole McDonald,SlottedBonus,125000.0,2019
16,496,Pearl River CC (MS),2B,R/R,JC J1,117.0,Houston Astros, Dexter,Jordan, Dexter Jordan,SlottedBonus,125000.0,2019
17,526,Baldwin-Wallace Col (OH),P,R/R,4YR SR,117.0,Houston Astros, Danny,Cody, Danny Cody,SlottedBonus,125000.0,2019
18,556,Simi Valley HS (CA),P,L/R,HS SR,117.0,Houston Astros, Justin,Campbell, Justin Campbell,SlottedBonus,125000.0,2019
19,586,University of Montevallo (AL),C,R/R,4YR SR,117.0,Houston Astros, Tyler,Krabbe, Tyler Krabbe,SlottedBonus,125000.0,2019
20,616,Stephen F. Austin (TX),P,S/R,4YR JR,117.0,Houston Astros, Alex,Palmer, Alex Palmer,SlottedBonus,125000.0,2019
21,646,Alabama (AL),P,R/R,4YR SR,117.0,Houston Astros, Davis,Vainer, Davis Vainer,SlottedBonus,125000.0,2019
22,676,UC Santa Barbara (CA),P,R/R,4YR JR,117.0,Houston Astros, Shea,Barry, Shea Barry,SlottedBonus,125000.0,2019
23,706,Coastal Carolina (SC),1B,L/L,4YR SR,117.0,Houston Astros, Zach,Biermann, Zach Biermann,SlottedBonus,125000.0,2019
24,736,Grand Canyon University (AZ),CF,R/R,4YR SR,117.0,Houston Astros, Preston,Pavlica, Preston Pavlica,SlottedBonus,125000.0,2019
25,766,Winston-Salem State University (NC),CF,L/R,4YR JR,117.0,Houston Astros, E.P.,Reese, E.P. Reese,SlottedBonus,125000.0,2019
